Igud (check-post)	BENZN	15/06/2014 05:00	4.12	1	24.95	4.25	16.50	16.41	5.88	1.14	0.58	0.55	0.58	0.37	0.37	0.31	0.23	0.22	0.21	0.26	0.15	0.17	0.27	0.27	0.09	0.27	6.82	18.09
Mobile_New	BENZN	09/12/2015 22:00	3.92	1	5.5	7.2	9.3	5.3	4.7	4.9	4.8	4.8	4.3	4.6	5.4	4.9	3.5	2.8	3.8	1.3	0.7	0.5	0.9	1.1	2.3	2.8	4.3	4.3
Mobile_New	BENZN	11/12/2015 07:00	3.91	1	4.2	4.2	4.7	3.3	3.0	2.5	2.2	1.9	1.9	2.0	3.1	2.4	3.1	4.0	4.9	4.9	4.6	5.0	5.7	5.3	5.4	5.4	5.2	4.9
Mobile_New	BENZN	11/12/2015 08:00	3.94	1	4.2	4.7	3.3	3.0	2.5	2.2	1.9	1.9	2.0	3.1	2.4	3.1	4.0	4.9	4.9	4.6	5.0	5.7	5.3	5.4	5.4	5.2	4.9	4.9
Mobile_New	BENZN	11/12/2015 09:00	3.95	1	4.7	3.3	3.0	2.5	2.2	1.9	1.9	2.0	3.1	2.4	3.1	4.0	4.9	4.9	4.6	5.0	5.7	5.3	5.4	5.4	5.2	4.9	4.9	4.4
Kiryat Binyamin	BENZN	12/10/2016 23:00	4.16	1	0.33	0.35	0.31	1.15	1.35	1.02	0.77	0.75	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84
Kiryat Binyamin	BENZN	13/10/2016 00:00	4.25	1	0.35	0.31	1.15	1.35	1.02	0.77	0.75	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59
Kiryat Binyamin	BENZN	13/10/2016 01:00	4.32	1	0.31	1.15	1.35	1.02	0.77	0.75	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04
Kiryat Binyamin	BENZN	13/10/2016 02:00	4.38	1	1.15	1.35	1.02	0.77	0.75	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62
Kiryat Binyamin	BENZN	13/10/2016 03:00	4.37	1	1.35	1.02	0.77	0.75	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11
Kiryat Binyamin	BENZN	13/10/2016 04:00	4.35	1	1.02	0.77	0.75	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88
Kiryat Binyamin	BENZN	13/10/2016 05:00	4.35	1	0.77	0.75	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98
Kiryat Binyamin	BENZN	13/10/2016 06:00	4.36	1	0.75	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00
Kiryat Binyamin	BENZN	13/10/2016 07:00	4.35	1	0.69	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45
Kiryat Binyamin	BENZN	13/10/2016 08:00	4.36	1	0.65	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85
Kiryat Binyamin	BENZN	13/10/2016 09:00	4.37	1	0.74	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85	0.96
Kiryat Binyamin	BENZN	13/10/2016 10:00	4.36	1	0.85	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85	0.96	0.58
Kiryat Binyamin	BENZN	13/10/2016 11:00	4.33	1	0.65	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85	0.96	0.58	0.05
Kiryat Binyamin	BENZN	13/10/2016 12:00	4.30	1	0.56	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85	0.96	0.58	0.05	0.00
Kiryat Binyamin	BENZN	13/10/2016 13:00	4.28	1	0.51	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85	0.96	0.58	0.05	0.00	0.00
Kiryat Binyamin	BENZN	13/10/2016 14:00	4.26	1	1.12	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85	0.96	0.58	0.05	0.00	0.00	0.00
Kiryat Binyamin	BENZN	13/10/2016 20:00	4.21	1	4.30	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85	0.96	0.58	0.05	0.00	0.00	0.00	0.00
Kiryat Binyamin	BENZN	13/10/2016 21:00	4.03	1	5.44	12.90	12.64	11.77	18.75	11.30	10.84	2.59	2.04	1.62	1.11	0.88	0.98	1.00	0.45	0.85	0.96	0.58	0.05	0.00	0.00	0.00	0.00	0.00
