"ind.row"	"ind.col"	"rnm"	"cnm"
"2"	2	1	"Ahuza ITemp"	"Ahuza FILTER-2.5"
"3"	3	1	"Ahuza NO2"	"Ahuza FILTER-2.5"
"4"	7	1	"Ahuza StWd"	"Ahuza FILTER-2.5"
"7"	7	2	"Ahuza StWd"	"Ahuza ITemp"
"18"	10	9	"Ahuza transportation EthylB"	"Ahuza transportation BENZN"
"19"	13	9	"Ahuza transportation TOLUEN"	"Ahuza transportation BENZN"
"22"	13	10	"Ahuza transportation TOLUEN"	"Ahuza transportation EthylB"
"29"	15	14	"Ahuza WDS"	"Ahuza WDD"
"33"	17	16	"BAZAN HCU NOx Dry"	"BAZAN HCU HCU Stat"
"34"	18	16	"BAZAN HCU NOX INS"	"BAZAN HCU HCU Stat"
"35"	21	16	"bazan NOx emission rate B21-Nox emission rate"	"BAZAN HCU HCU Stat"
"36"	25	16	"bazan NOx emission rate CU1-Nox emission rate"	"BAZAN HCU HCU Stat"
"37"	27	16	"bazan NOx emission rate CU4-Nox emission rate"	"BAZAN HCU HCU Stat"
"38"	28	16	"bazan NOx emission rate HCU-Nox emission rate"	"BAZAN HCU HCU Stat"
"39"	29	16	"bazan NOx emission rate HDS-Nox emission rate"	"BAZAN HCU HCU Stat"
"40"	30	16	"bazan NOx emission rate HPU-Nox emission rate"	"BAZAN HCU HCU Stat"
"41"	31	16	"bazan NOx emission rate IHDA-GO-Nox emission rate"	"BAZAN HCU HCU Stat"
"42"	36	16	"BAZAN TO-4 stat_TOC"	"BAZAN HCU HCU Stat"
"43"	38	16	"BAZAN VRU activity and goals"	"BAZAN HCU HCU Stat"
"44"	39	16	"BAZAN VRU CONC"	"BAZAN HCU HCU Stat"
"45"	40	16	"BAZAN_HDS NOx Dry"	"BAZAN HCU HCU Stat"
"46"	41	16	"BAZAN_HDS NOX INS"	"BAZAN HCU HCU Stat"
"47"	42	16	"BAZAN_HPU HPU Stat"	"BAZAN HCU HCU Stat"
"48"	43	16	"BAZAN_HPU NOx Dry"	"BAZAN HCU HCU Stat"
"49"	44	16	"BAZAN_HPU NOX INS"	"BAZAN HCU HCU Stat"
"50"	45	16	"BAZAN_Oper B11"	"BAZAN HCU HCU Stat"
"51"	46	16	"BAZAN_Oper B21"	"BAZAN HCU HCU Stat"
"52"	47	16	"BAZAN_Oper Benzine HDS"	"BAZAN HCU HCU Stat"
"53"	48	16	"BAZAN_Oper Boiler31"	"BAZAN HCU HCU Stat"
"54"	49	16	"BAZAN_Oper CCR"	"BAZAN HCU HCU Stat"
"55"	50	16	"BAZAN_Oper CU.1"	"BAZAN HCU HCU Stat"
"56"	51	16	"BAZAN_Oper CU.3"	"BAZAN HCU HCU Stat"
"57"	52	16	"BAZAN_Oper CU.4"	"BAZAN HCU HCU Stat"
"58"	53	16	"BAZAN_Oper FCC"	"BAZAN HCU HCU Stat"
"59"	54	16	"BAZAN_Oper GO HDS"	"BAZAN HCU HCU Stat"
"60"	55	16	"BAZAN_Oper HVGO HSD"	"BAZAN HCU HCU Stat"
"61"	56	16	"BAZAN_Oper Isomer"	"BAZAN HCU HCU Stat"
"62"	57	16	"BAZAN_Oper KERO HDS"	"BAZAN HCU HCU Stat"
"63"	58	16	"BAZAN_Oper Vis3."	"BAZAN HCU HCU Stat"
"64"	59	16	"BAZAN-B11 ST_NOx_INS"	"BAZAN HCU HCU Stat"
"65"	61	16	"BAZAN-B21 NOx Dry"	"BAZAN HCU HCU Stat"
"66"	62	16	"BAZAN-B21 SCR21_NOX_INS"	"BAZAN HCU HCU Stat"
"67"	63	16	"BAZAN-B31 ST_NOx_INS"	"BAZAN HCU HCU Stat"
"68"	66	16	"BAZAN-CCR NOX INS"	"BAZAN HCU HCU Stat"
"69"	67	16	"Bazan-CU1 NOx Dry"	"BAZAN HCU HCU Stat"
"70"	68	16	"Bazan-CU1 NOX INS"	"BAZAN HCU HCU Stat"
"71"	70	16	"Bazan-CU1-B4 NOX INS"	"BAZAN HCU HCU Stat"
"72"	72	16	"Bazan-CU3 NOX INS"	"BAZAN HCU HCU Stat"
"73"	74	16	"Bazan-CU3-B201B NOX INS"	"BAZAN HCU HCU Stat"
"74"	75	16	"BAZAN-CU4 ST_NOx_INS"	"BAZAN HCU HCU Stat"
"75"	76	16	"BAZAN-CU4 Stack_NOx"	"BAZAN HCU HCU Stat"
"76"	77	16	"BAZAN-FCC NOx Dry"	"BAZAN HCU HCU Stat"
"77"	78	16	"BAZAN-FCC NOX INS"	"BAZAN HCU HCU Stat"
"78"	79	16	"BAZAN-IHDS-GO NOx Dry"	"BAZAN HCU HCU Stat"
"79"	80	16	"BAZAN-IHDS-GO NOX INS"	"BAZAN HCU HCU Stat"
"80"	82	16	"BAZAN-ISOM NOX INS"	"BAZAN HCU HCU Stat"
"81"	84	16	"Bazan-VIS3 NOX INS"	"BAZAN HCU HCU Stat"
"82"	85	16	"BAZAN6-SO2 SO2FC"	"BAZAN HCU HCU Stat"
"83"	86	16	"BAZAN6-SO2 SO2FCC_Stat"	"BAZAN HCU HCU Stat"
"84"	88	16	"BAZAN6-SO2 SO2S3-Stat"	"BAZAN HCU HCU Stat"
"85"	89	16	"BAZAN6-SO2 SO2S4"	"BAZAN HCU HCU Stat"
"86"	90	16	"BAZAN6-SO2 SO2S4-Stat"	"BAZAN HCU HCU Stat"
"87"	94	16	"CAOL RTO Status"	"BAZAN HCU HCU Stat"
"88"	96	16	"CAOL_New Boiler1-Stat"	"BAZAN HCU HCU Stat"
"89"	97	16	"CAOL_New Boiler2-Stat"	"BAZAN HCU HCU Stat"
"90"	98	16	"CAOL_New Boiler3-Stat"	"BAZAN HCU HCU Stat"
"91"	99	16	"CAOL_New NOB1"	"BAZAN HCU HCU Stat"
"92"	100	16	"CAOL_New NOB2"	"BAZAN HCU HCU Stat"
"93"	101	16	"CAOL_New NOB3"	"BAZAN HCU HCU Stat"
"94"	102	16	"CAOL_New Stat_NOx_B1"	"BAZAN HCU HCU Stat"
"95"	103	16	"CAOL_New Stat_Nox_B2"	"BAZAN HCU HCU Stat"
"96"	104	16	"CAOL_New Stat_Nox_B3"	"BAZAN HCU HCU Stat"
"97"	120	16	"CAUL STAT1"	"BAZAN HCU HCU Stat"
"98"	121	16	"CAUL STAT2"	"BAZAN HCU HCU Stat"
"99"	122	16	"CAUL STAT3"	"BAZAN HCU HCU Stat"
"100"	123	16	"D.CARMEL ITemp"	"BAZAN HCU HCU Stat"
"101"	125	16	"D.CARMEL RH"	"BAZAN HCU HCU Stat"
"102"	127	16	"D.CARMEL StWd"	"BAZAN HCU HCU Stat"
"103"	128	16	"D.CARMEL TEMP"	"BAZAN HCU HCU Stat"
"104"	129	16	"D.CARMEL WDD"	"BAZAN HCU HCU Stat"
"105"	130	16	"D.CARMEL WDS"	"BAZAN HCU HCU Stat"
