Delek TOC 36601 Sun Sep  4 01:00:00 2016
BAZAN-IHDS-GO NOx Dry 286557 Tue Nov  1 00:00:00 2016
BAZAN-IHDS-GO NOx Dry 36600 Sun Jul 31 10:00:00 2016
BAZAN-IHDS-GO NOx Dry 36601 Sun Sep  4 01:00:00 2016
BAZAN-CCR NOx Dry 36601 Sun Sep  4 01:00:00 2016
BAZAN-CCR NOx Dry 286557 Tue Nov  1 00:00:00 2016
BAZAN-CCR NOx Dry 36600 Sun Jul 31 10:00:00 2016
Kiryat Yam StWd 250678 Sat Oct 22 23:00:00 2016
Kiryat Yam StWd 243478 Sun Oct 23 01:00:00 2016
Kiryat Yam StWd 283078 Sat Oct 22 14:00:00 2016
Kiryat Yam StWd 286678 Sat Oct 22 13:00:00 2016
Kiryat Yam StWd 347827 Fri Oct 21 20:00:00 2016
Kiryat Yam StWd 440686 Thu Oct 20 18:00:00 2016
Kiryat Yam StWd 88829 Mon Oct 24 20:00:00 2016
Kiryat Yam StWd 232777 Sun Oct 23 04:00:00 2016
Kiryat Yam StWd 74429 Tue Oct 25 00:00:00 2016
Kiryat Yam StWd 444286 Thu Oct 20 17:00:00 2016
Kiryat Yam StWd 189577 Sun Oct 23 16:00:00 2016
Kiryat Yam StWd 426286 Thu Oct 20 22:00:00 2016
Kiryat Yam StWd 193177 Sun Oct 23 15:00:00 2016
Kiryat Yam StWd 405427 Fri Oct 21 04:00:00 2016
Kiryat Yam StWd 315478 Sat Oct 22 05:00:00 2016
Kiryat Yam StWd 387427 Fri Oct 21 09:00:00 2016
Kiryat Yam StWd 85229 Mon Oct 24 21:00:00 2016
Kiryat Yam StWd 429886 Thu Oct 20 21:00:00 2016
Kiryat Yam StWd 394627 Fri Oct 21 07:00:00 2016
Kiryat Yam StWd 275878 Sat Oct 22 16:00:00 2016
Kiryat Yam StWd 308278 Sat Oct 22 07:00:00 2016
Kiryat Yam StWd 261478 Sat Oct 22 20:00:00 2016
Kiryat Yam StWd 92429 Mon Oct 24 19:00:00 2016
Kiryat Yam StWd 319078 Sat Oct 22 04:00:00 2016
Kiryat Yam StWd 369427 Fri Oct 21 14:00:00 2016
Kiryat Yam StWd 214777 Sun Oct 23 09:00:00 2016
Kiryat Yam StWd 142829 Mon Oct 24 05:00:00 2016
Kiryat Yam StWd 437086 Thu Oct 20 19:00:00 2016
Kiryat Yam StWd 203977 Sun Oct 23 12:00:00 2016
Kiryat Yam StWd 178777 Sun Oct 23 19:00:00 2016
Kiryat Yam StWd 229177 Sun Oct 23 05:00:00 2016
Kiryat Yam StWd 117629 Mon Oct 24 12:00:00 2016
Kiryat Yam StWd 106829 Mon Oct 24 15:00:00 2016
Kiryat Yam StWd 422686 Thu Oct 20 23:00:00 2016
Kiryat Yam StWd 182377 Sun Oct 23 18:00:00 2016
