date	year	month	day	day_of_week	day_of_year	station	sensor	value	threshold
20120702	2012	7	2	1	184	BAZAN_HDS	NOx Dry	102.4	100
20170412	2017	4	12	3	102	BAZAN_HDS	NOx Dry	107.3	100
20170206	2017	2	6	1	37	BAZAN_HDS	NOx Dry	104.2	100
20120513	2012	5	13	7	134	BAZAN_HDS	NOx Dry	111.7	100
20130123	2013	1	23	3	23	BAZAN_HDS	NOx Dry	118.4	100
20160424	2016	4	24	7	115	BAZAN_HDS	NOx Dry	113.5	100
20170305	2017	3	5	7	64	BAZAN_HDS	NOx Dry	103.7	100
20161016	2016	10	16	7	290	BAZAN_HDS	NOx Dry	109.1	100
20170411	2017	4	11	2	101	BAZAN_HDS	NOx Dry	104.4	100
20170311	2017	3	11	6	70	BAZAN_HDS	NOx Dry	131.3	100
20161201	2016	12	1	4	336	BAZAN_HDS	NOx Dry	114.8	100
20120519	2012	5	19	6	140	BAZAN_HDS	NOx Dry	106.9	100
20120312	2012	3	12	1	72	BAZAN_HDS	NOx Dry	106.8	100
20170222	2017	2	22	3	53	BAZAN_HDS	NOx Dry	105.3	100
20160813	2016	8	13	6	226	BAZAN_HDS	NOx Dry	105.4	100
20161108	2016	11	8	2	313	BAZAN_HDS	NOx Dry	103.9	100
20170223	2017	2	23	4	54	BAZAN_HDS	NOx Dry	103.7	100
20160524	2016	5	24	2	145	BAZAN_HDS	NOx Dry	119.9	100
20161218	2016	12	18	7	353	BAZAN_HDS	NOx Dry	114.1	100
20161213	2016	12	13	2	348	BAZAN_HDS	NOx Dry	113.4	100
20161209	2016	12	9	5	344	BAZAN_HDS	NOx Dry	157.7	100
20170307	2017	3	7	2	66	BAZAN_HDS	NOx Dry	106.9	100
20151204	2015	12	4	5	338	BAZAN_HDS	NOx Dry	112.4	100
20170126	2017	1	26	4	26	BAZAN_HDS	NOx Dry	101.2	100
20170115	2017	1	15	7	15	BAZAN_HDS	NOx Dry	138.5	100
20170129	2017	1	29	7	29	BAZAN_HDS	NOx Dry	118.1	100
20111108	2011	11	8	2	312	BAZAN_HDS	NOx Dry	107.0	100
20160213	2016	2	13	6	44	BAZAN_HDS	NOx Dry	104.4	100
20120507	2012	5	7	1	128	BAZAN_HDS	NOx Dry	110.6	100
20170527	2017	5	27	6	147	BAZAN_HDS	NOx Dry	109.6	100
20170220	2017	2	20	1	51	BAZAN_HDS	NOx Dry	115.7	100
20170112	2017	1	12	4	12	BAZAN_HDS	NOx Dry	151.5	100
20120314	2012	3	14	3	74	BAZAN_HDS	NOx Dry	101.6	100
20120506	2012	5	6	7	127	BAZAN_HDS	NOx Dry	106.0	100
20160602	2016	6	2	4	154	BAZAN_HDS	NOx Dry	113.4	100
20170315	2017	3	15	3	74	BAZAN_HDS	NOx Dry	138.0	100
20161125	2016	11	25	5	330	BAZAN_HDS	NOx Dry	114.7	100
20170208	2017	2	8	3	39	BAZAN_HDS	NOx Dry	113.0	100
20120225	2012	2	25	6	56	BAZAN_HDS	NOx Dry	119.1	100
20170117	2017	1	17	2	17	BAZAN_HDS	NOx Dry	102.8	100
20130118	2013	1	18	5	18	BAZAN_HDS	NOx Dry	107.4	100
20160930	2016	9	30	5	274	BAZAN_HDS	NOx Dry	101.2	100
20160413	2016	4	13	3	104	BAZAN_HDS	NOx Dry	101.8	100
20160606	2016	6	6	1	158	BAZAN_HDS	NOx Dry	132.8	100
20120509	2012	5	9	3	130	BAZAN_HDS	NOx Dry	106.8	100
20170504	2017	5	4	4	124	BAZAN_HDS	NOx Dry	101.2	100
20120610	2012	6	10	7	162	BAZAN_HDS	NOx Dry	100.8	100
20160501	2016	5	1	7	122	BAZAN_HDS	NOx Dry	148.0	100
20170509	2017	5	9	2	129	BAZAN_HDS	NOx Dry	107.4	100
20161102	2016	11	2	3	307	BAZAN_HDS	NOx Dry	122.5	100
20120607	2012	6	7	4	159	BAZAN_HDS	NOx Dry	100.4	100
20130205	2013	2	5	2	36	BAZAN_HDS	NOx Dry	105.2	100
20160605	2016	6	5	7	157	BAZAN_HDS	NOx Dry	114.3	100
20170226	2017	2	26	7	57	BAZAN_HDS	NOx Dry	101.6	100
20160619	2016	6	19	7	171	BAZAN_HDS	NOx Dry	101.9	100
20120224	2012	2	24	5	55	BAZAN_HDS	NOx Dry	118.1	100
20160816	2016	8	16	2	229	BAZAN_HDS	NOx Dry	105.9	100
20160828	2016	8	28	7	241	BAZAN_HDS	NOx Dry	105.3	100
20161121	2016	11	21	1	326	BAZAN_HDS	NOx Dry	124.0	100
20161105	2016	11	5	6	310	BAZAN_HDS	NOx Dry	120.8	100
20170202	2017	2	2	4	33	BAZAN_HDS	NOx Dry	111.1	100
20161216	2016	12	16	5	351	BAZAN_HDS	NOx Dry	109.0	100
20170214	2017	2	14	2	45	BAZAN_HDS	NOx Dry	126.7	100
20160427	2016	4	27	3	118	BAZAN_HDS	NOx Dry	121.0	100
20120419	2012	4	19	4	110	BAZAN_HDS	NOx Dry	112.5	100
20170211	2017	2	11	6	42	BAZAN_HDS	NOx Dry	108.6	100
20160228	2016	2	28	7	59	BAZAN_HDS	NOx Dry	100.6	100
20160416	2016	4	16	6	107	BAZAN_HDS	NOx Dry	103.0	100
20120428	2012	4	28	6	119	BAZAN_HDS	NOx Dry	109.6	100
20111127	2011	11	27	7	331	BAZAN_HDS	NOx Dry	103.2	100
20160326	2016	3	26	6	86	BAZAN_HDS	NOx Dry	109.5	100
20120424	2012	4	24	2	115	BAZAN_HDS	NOx Dry	107.6	100
20120517	2012	5	17	4	138	BAZAN_HDS	NOx Dry	103.5	100
20120221	2012	2	21	2	52	BAZAN_HDS	NOx Dry	112.5	100
20160817	2016	8	17	3	230	BAZAN_HDS	NOx Dry	102.1	100
20170529	2017	5	29	1	149	BAZAN_HDS	NOx Dry	111.6	100
20170306	2017	3	6	1	65	BAZAN_HDS	NOx Dry	106.4	100
20161231	2016	12	31	6	366	BAZAN_HDS	NOx Dry	101.4	100
20111130	2011	11	30	3	334	BAZAN_HDS	NOx Dry	100.1	100
20120625	2012	6	25	1	177	BAZAN_HDS	NOx Dry	100.3	100
20170310	2017	3	10	5	69	BAZAN_HDS	NOx Dry	123.9	100
20161210	2016	12	10	6	345	BAZAN_HDS	NOx Dry	147.4	100
20120408	2012	4	8	7	99	BAZAN_HDS	NOx Dry	102.0	100
20161118	2016	11	18	5	323	BAZAN_HDS	NOx Dry	114.3	100
20160422	2016	4	22	5	113	BAZAN_HDS	NOx Dry	123.9	100
20111109	2011	11	9	3	313	BAZAN_HDS	NOx Dry	107.1	100
20161007	2016	10	7	5	281	BAZAN_HDS	NOx Dry	100.1	100
20170514	2017	5	14	7	134	BAZAN_HDS	NOx Dry	101.6	100
20111025	2011	10	25	2	298	BAZAN_HDS	NOx Dry	100.4	100
20160611	2016	6	11	6	163	BAZAN_HDS	NOx Dry	152.7	100
20160216	2016	2	16	2	47	BAZAN_HDS	NOx Dry	100.2	100
20170218	2017	2	18	6	49	BAZAN_HDS	NOx Dry	119.2	100
20120402	2012	4	2	1	93	BAZAN_HDS	NOx Dry	120.0	100
20170528	2017	5	28	7	148	BAZAN_HDS	NOx Dry	110.0	100
20160612	2016	6	12	7	164	BAZAN_HDS	NOx Dry	143.9	100
20120324	2012	3	24	6	84	BAZAN_HDS	NOx Dry	102.8	100
20161123	2016	11	23	3	328	BAZAN_HDS	NOx Dry	127.7	100
20120612	2012	6	12	2	164	BAZAN_HDS	NOx Dry	107.0	100
20120627	2012	6	27	3	179	BAZAN_HDS	NOx Dry	103.3	100
20170304	2017	3	4	6	63	BAZAN_HDS	NOx Dry	103.1	100
20170212	2017	2	12	7	43	BAZAN_HDS	NOx Dry	105.5	100
20161203	2016	12	3	6	338	BAZAN_HDS	NOx Dry	105.4	100
20170114	2017	1	14	6	14	BAZAN_HDS	NOx Dry	151.9	100
20120218	2012	2	18	6	49	BAZAN_HDS	NOx Dry	115.9	100
20170116	2017	1	16	1	16	BAZAN_HDS	NOx Dry	135.4	100
20120510	2012	5	10	4	131	BAZAN_HDS	NOx Dry	114.2	100
20170102	2017	1	2	1	2	BAZAN_HDS	NOx Dry	127.0	100
20160224	2016	2	24	3	55	BAZAN_HDS	NOx Dry	101.4	100
20170511	2017	5	11	4	131	BAZAN_HDS	NOx Dry	107.1	100
20161219	2016	12	19	1	354	BAZAN_HDS	NOx Dry	127.6	100
20160417	2016	4	17	7	108	BAZAN_HDS	NOx Dry	101.7	100
20120520	2012	5	20	7	141	BAZAN_HDS	NOx Dry	110.6	100
20161120	2016	11	20	7	325	BAZAN_HDS	NOx Dry	116.6	100
20120521	2012	5	21	1	142	BAZAN_HDS	NOx Dry	109.3	100
20130120	2013	1	20	7	20	BAZAN_HDS	NOx Dry	112.6	100
20161126	2016	11	26	6	331	BAZAN_HDS	NOx Dry	108.6	100
20161212	2016	12	12	1	347	BAZAN_HDS	NOx Dry	133.6	100
20130308	2013	3	8	5	67	BAZAN_HDS	NOx Dry	109.8	100
20161014	2016	10	14	5	288	BAZAN_HDS	NOx Dry	114.8	100
20160903	2016	9	3	6	247	BAZAN_HDS	NOx Dry	106.2	100
20120403	2012	4	3	2	94	BAZAN_HDS	NOx Dry	116.9	100
20160426	2016	4	26	2	117	BAZAN_HDS	NOx Dry	117.1	100
20120405	2012	4	5	4	96	BAZAN_HDS	NOx Dry	108.0	100
20120401	2012	4	1	7	92	BAZAN_HDS	NOx Dry	126.4	100
20130110	2013	1	10	4	10	BAZAN_HDS	NOx Dry	101.7	100
20120206	2012	2	6	1	37	BAZAN_HDS	NOx Dry	109.1	100
20170302	2017	3	2	4	61	BAZAN_HDS	NOx Dry	104.9	100
20120611	2012	6	11	1	163	BAZAN_HDS	NOx Dry	103.9	100
20170219	2017	2	19	7	50	BAZAN_HDS	NOx Dry	121.9	100
20160302	2016	3	2	3	62	BAZAN_HDS	NOx Dry	111.9	100
20160430	2016	4	30	6	121	BAZAN_HDS	NOx Dry	139.0	100
20161124	2016	11	24	4	329	BAZAN_HDS	NOx Dry	129.5	100
20160227	2016	2	27	6	58	BAZAN_HDS	NOx Dry	102.9	100
20120508	2012	5	8	2	129	BAZAN_HDS	NOx Dry	106.2	100
20170104	2017	1	4	3	4	BAZAN_HDS	NOx Dry	132.0	100
20161103	2016	11	3	4	308	BAZAN_HDS	NOx Dry	126.0	100
20170313	2017	3	13	1	72	BAZAN_HDS	NOx Dry	137.5	100
20120703	2012	7	3	2	185	BAZAN_HDS	NOx Dry	105.8	100
20170106	2017	1	6	5	6	BAZAN_HDS	NOx Dry	114.5	100
20151205	2015	12	5	6	339	BAZAN_HDS	NOx Dry	113.6	100
20161207	2016	12	7	3	342	BAZAN_HDS	NOx Dry	142.6	100
20170217	2017	2	17	5	48	BAZAN_HDS	NOx Dry	124.7	100
20161206	2016	12	6	2	341	BAZAN_HDS	NOx Dry	130.1	100
20111231	2011	12	31	6	365	BAZAN_HDS	NOx Dry	102.7	100
20160615	2016	6	15	3	167	BAZAN_HDS	NOx Dry	118.9	100
20131123	2013	11	23	6	327	BAZAN_HDS	NOx Dry	102.9	100
20120418	2012	4	18	3	109	BAZAN_HDS	NOx Dry	107.5	100
20120420	2012	4	20	5	111	BAZAN_HDS	NOx Dry	118.2	100
20120603	2012	6	3	7	155	BAZAN_HDS	NOx Dry	102.7	100
20161225	2016	12	25	7	360	BAZAN_HDS	NOx Dry	118.2	100
20170525	2017	5	25	4	145	BAZAN_HDS	NOx Dry	109.1	100
20160402	2016	4	2	6	93	BAZAN_HDS	NOx Dry	106.0	100
20170319	2017	3	19	7	78	BAZAN_HDS	NOx Dry	107.7	100
20120531	2012	5	31	4	152	BAZAN_HDS	NOx Dry	103.1	100
20120223	2012	2	23	4	54	BAZAN_HDS	NOx Dry	120.9	100
20151212	2015	12	12	6	346	BAZAN_HDS	NOx Dry	101.7	100
20160905	2016	9	5	1	249	BAZAN_HDS	NOx Dry	106.5	100
20120406	2012	4	6	5	97	BAZAN_HDS	NOx Dry	105.7	100
20160301	2016	3	1	2	61	BAZAN_HDS	NOx Dry	116.0	100
20161119	2016	11	19	6	324	BAZAN_HDS	NOx Dry	114.2	100
20130114	2013	1	14	1	14	BAZAN_HDS	NOx Dry	121.7	100
20160218	2016	2	18	4	49	BAZAN_HDS	NOx Dry	105.0	100
20160530	2016	5	30	1	151	BAZAN_HDS	NOx Dry	111.6	100
