station,sensor,reading,threshold,date,year,month,month_day,hour,week_day,year_day
Bazan-CU1-B4,NOx Dry,163.3,150,20170102,2017,1,2,5,1,2
Bazan-CU1-B4,NOx Dry,160.8,150,20170102,2017,1,2,6,1,2
Bazan-CU1-B4,NOx Dry,158.2,150,20170102,2017,1,2,7,1,2
Bazan-CU1-B4,NOx Dry,156.1,150,20170102,2017,1,2,8,1,2
Bazan-CU1-B4,NOx Dry,156.8,150,20170102,2017,1,2,9,1,2
Bazan-CU1-B4,NOx Dry,158.8,150,20170102,2017,1,2,10,1,2
Bazan-CU1-B4,NOx Dry,158.8,150,20170102,2017,1,2,11,1,2
Bazan-CU1-B4,NOx Dry,154.1,150,20170102,2017,1,2,12,1,2
Bazan-CU1-B4,NOx Dry,150.1,150,20170102,2017,1,2,13,1,2
Bazan-CU1-B4,NOx Dry,155.1,150,20170102,2017,1,2,14,1,2
Bazan-CU1-B4,NOx Dry,156.4,150,20170102,2017,1,2,15,1,2
Bazan-CU1-B4,NOx Dry,152.3,150,20170102,2017,1,2,16,1,2
Bazan-CU1-B4,NOx Dry,151.4,150,20170227,2017,2,27,22,1,58
Bazan-CU1-B4,NOx Dry,151.4,150,20170227,2017,2,27,23,1,58
Bazan-CU1-B4,NOx Dry,152.6,150,20170228,2017,2,28,0,2,59
Bazan-CU1-B4,NOx Dry,152.6,150,20170228,2017,2,28,1,2,59
Bazan-CU1-B4,NOx Dry,154.0,150,20170228,2017,2,28,2,2,59
Bazan-CU1-B4,NOx Dry,154.3,150,20170228,2017,2,28,3,2,59
Bazan-CU1-B4,NOx Dry,152.8,150,20170228,2017,2,28,4,2,59
Bazan-CU1-B4,NOx Dry,152.0,150,20170228,2017,2,28,5,2,59
Bazan-CU1-B4,NOx Dry,151.9,150,20170228,2017,2,28,6,2,59
Bazan-CU1-B4,NOx Dry,157.6,150,20170228,2017,2,28,14,2,59
Bazan-CU1-B4,NOx Dry,171.9,150,20170228,2017,2,28,15,2,59
Bazan-CU1-B4,NOx Dry,170.5,150,20170228,2017,2,28,16,2,59
Bazan-CU1-B4,NOx Dry,174.0,150,20170228,2017,2,28,17,2,59
Bazan-CU1-B4,NOx Dry,174.7,150,20170228,2017,2,28,18,2,59
Bazan-CU1-B4,NOx Dry,176.2,150,20170228,2017,2,28,19,2,59
Bazan-CU1-B4,NOx Dry,169.6,150,20170228,2017,2,28,20,2,59
Bazan-CU1-B4,NOx Dry,168.5,150,20170228,2017,2,28,21,2,59
Bazan-CU1-B4,NOx Dry,172.0,150,20170228,2017,2,28,22,2,59
Bazan-CU1-B4,NOx Dry,164.6,150,20170228,2017,2,28,23,2,59
Bazan-CU1-B4,NOx Dry,162.5,150,20170301,2017,3,1,0,3,60
BAZAN6-SO2,SO2S4,202.1,200,20170129,2017,1,29,12,7,29
BAZAN6-SO2,SO2S4,200.2,200,20170130,2017,1,30,0,1,30
BAZAN6-SO2,SO2S4,208.7,200,20170130,2017,1,30,1,1,30
HaifaChem,Nox N1,419.66,300,20170106,2017,1,6,2,5,6
TARO,TOC,22.5,10,20170212,2017,2,12,14,7,43
TARO,TOC,60.0,10,20170212,2017,2,12,15,7,43
TARO,TOC,59.5,10,20170212,2017,2,12,16,7,43
Bazan-CU3,NOx Dry,164.5,150,20170101,2017,1,1,0,7,1
Bazan-CU3,NOx Dry,165.4,150,20170101,2017,1,1,1,7,1
Bazan-CU3,NOx Dry,165.5,150,20170101,2017,1,1,2,7,1
Bazan-CU3,NOx Dry,165.2,150,20170101,2017,1,1,3,7,1
Bazan-CU3,NOx Dry,167.2,150,20170101,2017,1,1,4,7,1
Bazan-CU3,NOx Dry,167.3,150,20170101,2017,1,1,5,7,1
Bazan-CU3,NOx Dry,163.7,150,20170101,2017,1,1,6,7,1
Bazan-CU3,NOx Dry,165.2,150,20170101,2017,1,1,7,7,1
Bazan-CU3,NOx Dry,165.1,150,20170101,2017,1,1,8,7,1
Bazan-CU3,NOx Dry,166.8,150,20170101,2017,1,1,9,7,1
Bazan-CU3,NOx Dry,168.8,150,20170101,2017,1,1,10,7,1
Bazan-CU3,NOx Dry,162.5,150,20170101,2017,1,1,11,7,1
Bazan-CU3,NOx Dry,150.4,150,20170101,2017,1,1,12,7,1
Bazan-CU3,NOx Dry,155.0,150,20170102,2017,1,2,5,1,2
Bazan-CU3,NOx Dry,157.4,150,20170102,2017,1,2,6,1,2
Bazan-CU3,NOx Dry,152.0,150,20170102,2017,1,2,7,1,2
Bazan-CU3,NOx Dry,153.5,150,20170102,2017,1,2,8,1,2
Bazan-CU3,NOx Dry,153.6,150,20170102,2017,1,2,9,1,2
Bazan-CU3,NOx Dry,155.7,150,20170114,2017,1,14,21,6,14
Bazan-CU3,NOx Dry,157.0,150,20170114,2017,1,14,22,6,14
Bazan-CU3,NOx Dry,163.6,150,20170114,2017,1,14,23,6,14
Bazan-CU3,NOx Dry,165.8,150,20170115,2017,1,15,0,7,15
Bazan-CU3,NOx Dry,169.9,150,20170115,2017,1,15,1,7,15
Bazan-CU3,NOx Dry,171.6,150,20170115,2017,1,15,2,7,15
Bazan-CU3,NOx Dry,174.1,150,20170115,2017,1,15,3,7,15
Bazan-CU3,NOx Dry,168.0,150,20170115,2017,1,15,4,7,15
Bazan-CU3,NOx Dry,163.9,150,20170115,2017,1,15,5,7,15
Bazan-CU3,NOx Dry,168.6,150,20170115,2017,1,15,6,7,15
Bazan-CU3,NOx Dry,170.7,150,20170115,2017,1,15,7,7,15
Bazan-CU3,NOx Dry,168.1,150,20170115,2017,1,15,9,7,15
Bazan-CU3,NOx Dry,295.6,150,20170117,2017,1,17,8,2,17
Bazan-CU3,NOx Dry,184.7,150,20170227,2017,2,27,10,1,58
Bazan-CU3,NOx Dry,154.5,150,20170227,2017,2,27,11,1,58
Gadiv-XYl2,NOx Dry,295.6,200,20170101,2017,1,1,7,7,1
BAZAN-B11,Stack_NOx,128.3,100,20170104,2017,1,4,10,3,4
BAZAN-B11,Stack_NOx,134.8,100,20170105,2017,1,5,9,4,5
BAZAN-B11,Stack_NOx,131.7,100,20170105,2017,1,5,10,4,5
BAZAN-B11,Stack_NOx,108.5,100,20170105,2017,1,5,16,4,5
BAZAN6-SO2,SO2S3,237.2,200,20170128,2017,1,28,11,6,28
BAZAN6-SO2,SO2S3,226.6,200,20170128,2017,1,28,12,6,28
BAZAN6-SO2,SO2S3,217.9,200,20170128,2017,1,28,13,6,28
CAOL_New,NOB1,1308.4,200,20170116,2017,1,16,14,1,16
CAOL_New,NOB1,494.4,200,20170215,2017,2,15,12,3,46
CAOL_New,NOB1,413.4,200,20170215,2017,2,15,13,3,46
CAOL_New,NOB1,737.1,200,20170215,2017,2,15,14,3,46
CAOL_New,NOB1,657.4,200,20170215,2017,2,15,15,3,46
Bazan-CU3-B201B,NOx Dry,151.1,150,20170101,2017,1,1,2,7,1
